ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12066208,JD250646,06/02/2020 03:50:00 AM,021XX N ELSTON AVE,1330,CRIMINAL TRESPASS,TO LAND,DEPARTMENT STORE,true,false,1432,014,32,22,26,1164551,1914302,2020,06/09/2020 03:49:44 PM,41.92046017,-87.67083136,"(41.92046017, -87.67083136)"
12067194,JD251795,06/02/2020 11:28:00 PM,084XX S MARQUETTE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,0423,004,7,46,15,1195630,1849490,2020,06/09/2020 03:49:44 PM,41.741897992,-87.558790387,"(41.741897992, -87.558790387)"
12067198,JD251684,06/02/2020 09:32:00 PM,084XX S COLFAX AVE,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,false,false,0423,004,7,46,04B,1194964,1849600,2020,06/09/2020 03:49:44 PM,41.742216265,-87.561226928,"(41.742216265, -87.561226928)"
12066063,JD250529,06/02/2020 01:25:00 AM,005XX W HARRISON ST,1330,CRIMINAL TRESPASS,TO LAND,HOTEL / MOTEL,true,false,0124,001,25,28,26,1173059,1897584,2020,06/09/2020 03:49:44 PM,41.874400423,-87.640067886,"(41.874400423, -87.640067886)"
12070185,JD254379,06/02/2020 01:00:00 PM,062XX N Nagle Ave,0810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,false,false,1611,016,41,10,06,,,2020,06/09/2020 03:49:44 PM,,,
12066768,JD250574,06/02/2020 01:53:00 AM,133XX S INDIANA AVE,0610,BURGLARY,FORCIBLE ENTRY,CONVENIENCE STORE,false,false,0533,005,9,54,05,1179952,1816692,2020,06/09/2020 03:49:44 PM,41.652268611,-87.617232658,"(41.652268611, -87.617232658)"
12066986,JD250908,06/02/2020 10:10:00 AM,062XX N TRIPP AVE,0810,THEFT,OVER $500,STREET,false,false,1711,017,39,12,06,1146909,1941157,2020,06/09/2020 03:49:44 PM,41.994508109,-87.734962936,"(41.994508109, -87.734962936)"
12067868,JD252617,06/02/2020 10:30:00 PM,050XX W PARKER AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),false,false,2521,025,31,19,06,1142277,1917816,2020,06/09/2020 03:49:44 PM,41.930545975,-87.752583647,"(41.930545975, -87.752583647)"
12072371,JD251450,06/01/2020 06:30:00 AM,001XX E 14TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0132,001,3,33,14,,,2020,06/09/2020 03:49:44 PM,,,
12067405,JD252012,06/02/2020 05:00:00 PM,039XX S ASHLAND AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,false,false,0924,009,11,61,14,1166346,1878636,2020,06/09/2020 03:49:44 PM,41.822551473,-87.665256122,"(41.822551473, -87.665256122)"
12067185,JD251736,06/02/2020 09:54:00 PM,026XX S KOMENSKY AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,SIDEWALK,true,false,1031,010,22,30,15,1149802,1886248,2020,06/09/2020 03:49:44 PM,41.843776788,-87.725752087,"(41.843776788, -87.725752087)"
12066908,JD251323,06/02/2020 02:40:00 PM,069XX S EAST END AVE,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,RESIDENCE - PORCH / HALLWAY,true,false,0332,003,5,43,18,1188973,1859409,2020,06/09/2020 03:49:44 PM,41.769278449,-87.58286403,"(41.769278449, -87.58286403)"
12066450,JD250946,06/02/2020 11:00:00 AM,037XX W CHICAGO AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,false,false,1112,011,27,23,04B,1151088,1905077,2020,06/09/2020 03:49:44 PM,41.895420644,-87.720539406,"(41.895420644, -87.720539406)"
12067431,JD251364,06/02/2020 04:18:00 PM,095XX S LOOMIS ST,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,false,false,2213,022,21,73,04B,1168705,1841429,2020,06/09/2020 03:49:44 PM,41.720400102,-87.657674281,"(41.720400102, -87.657674281)"
